feature_name,description,feature_category,coefficient (negative=shorter survival),train_set_mean,train_set_std_dev
proc_3050F,MOST RECENT LDL-C >= 130 MG/DL,dx_proc_medi,-0.006857075,0.000635617,0.01661086
proc_32550,#NAME?,dx_proc_medi,-0.006890939,0.001842164,0.032080096
proc_32666,THORACOSCOPY W/WEDGE RESECT,dx_proc_medi,0.015036684,0.003712454,0.044752151
proc_36246,SLCTV CATHJ 2ND ORDER ABDL PEL/LXTR ART BRNCH,dx_proc_medi,-0.006166221,0.001167173,0.023291589
proc_36561,+INSJ TUN CTR CTR VAD W/SUBQ PORT AGE 5 YR/>,dx_proc_medi,0.001102686,0.013047024,0.067911855
proc_36590,#NAME?,dx_proc_medi,-0.006083537,0.004561818,0.03899257
proc_37191,INS ENDOVAS VENA CAVA FILTR,dx_proc_medi,-0.007270391,0.000869052,0.021824507
proc_38221,#NAME?,dx_proc_medi,0.004555915,0.003945888,0.041861864
proc_38505,"BIOPSY OR EXCISION OF LYMPH NODE(S); BY NEEDLE, SUPERFICIAL (EG, CERVICAL, INGUINAL, AXILLARY)",dx_proc_medi,-0.012439459,0.002280909,0.033896353
proc_416543,UHA FLU SHOT PROTOCOL AUTHORIZATION,dx_proc_medi,-0.006398697,0.00378839,0.049593976
proc_43260,#NAME?,dx_proc_medi,-0.009265566,0.000584993,0.020376444
proc_43271,#NAME?,dx_proc_medi,-9.70E-06,0.001214985,0.028961141
proc_45330,#NAME?,dx_proc_medi,-0.010417283,0.000928113,0.020294527
proc_45378,#NAME?,dx_proc_medi,0.007599101,0.006336483,0.047960101
proc_47000,BX LVR NDL PRQ,dx_proc_medi,-0.010696883,0.006117111,0.061328348
proc_47120,#NAME?,dx_proc_medi,0.008512879,0.003644954,0.039589387
proc_47382,ABLTJ 1+ LVR TUM PRQ RF,dx_proc_medi,-0.006425332,0.001009675,0.020299294
proc_48140,PNCRTECT DSTL STOT W/O PNCRTCOJEJUNOSTOMY,dx_proc_medi,0.002171645,0.001279672,0.022935805
proc_49083,#NAME?,dx_proc_medi,-0.002924379,0.003175273,0.047115292
proc_49203,+EXCISION/DESTRUCTION OPEN ABDOMINAL TUMORS 5 CM,dx_proc_medi,0.008289638,0.001259984,0.025360797
proc_49411,#NAME?,dx_proc_medi,0.00540179,0.001740916,0.025574036
proc_50387,RMVL&RPLCMT XTRNLLY ACCESSIBLE URTRL STENT,dx_proc_medi,0.009476822,0.00080999,0.022780404
proc_51600,INJECTION BLADDER X-RAY,dx_proc_medi,0.008829705,0.000905614,0.019301155
proc_64615,CHEMODENERV MUSC MIGRAINE - BILATERAL,dx_proc_medi,0.003939456,0.000382495,0.017036452
proc_70551,HC MRI BRAIN W/O CONTRAST,dx_proc_medi,0.001976585,0.003099336,0.039724432
proc_71045,X-RAY EXAM CHEST 1 VIEW,dx_proc_medi,-0.004807942,0.006010237,0.067967353
proc_71046,X-RAY EXAM CHEST 2 VIEWS,dx_proc_medi,-0.00513509,0.007154911,0.07147219
proc_71260,CT CHEST W IV CONTRAST,dx_proc_medi,-0.010367748,0.147229722,0.288906655
proc_71270,CT CHEST W AND WO IV CONTRAST,dx_proc_medi,0.006152215,0.001313421,0.028012683
proc_72070,RADEX SPI THRC 2 VIEWS,dx_proc_medi,-0.00771094,0.002159973,0.033743169
proc_72131,CT LMBR SPI C-MATRL,dx_proc_medi,0.013069788,0.001785915,0.032312569
proc_72192,CT PELVIS C-MATRL,dx_proc_medi,0.011789665,0.001313421,0.024490628
proc_72197,HC MRI PELVIS WO/W CONTRAST,dx_proc_medi,0.008400498,0.020241309,0.106121001
proc_74176,CT ABD & PELVIS W/O CONTRAST,dx_proc_medi,-0.008224128,0.011902351,0.082773956
proc_74183,HC MRI ABDDOMEN WO/W CONT,dx_proc_medi,0.004567254,0.025087186,0.122360446
proc_74220,RADEX ESOPH,dx_proc_medi,-0.015310785,0.00157498,0.027524318
proc_74230,FL MODIFIED BARIUM SWALLOW INCLUDING VIDEO AND SPEECH,dx_proc_medi,0.004335364,0.002846214,0.038099453
proc_76536,ENDO ECHO EXAM HEAD AND NECK,dx_proc_medi,0.007970032,0.008563955,0.063965362
proc_76856,"ULTRASOUND,PELVIC (NON-OB),COMPLETE",dx_proc_medi,0.014812001,0.004336821,0.045382855
proc_76998,ULTRASONIC GUIDANCE INTRAOPERATIVE,dx_proc_medi,0.004709801,0.004798065,0.045126555
proc_77001,#NAME?,dx_proc_medi,0.005875687,0.015536056,0.076465118
proc_77051,COMPUTER-AIDED DETECTION DX MAMMOGRAPHY,dx_proc_medi,-0.005822487,0.006058049,0.045933798
proc_77057,MAMMOGRAM SCREEN DIG W CAD BILAT IMPLANT MMC,dx_proc_medi,0.005437486,0.005073687,0.040496173
proc_77059,MR BREAST W AND WO IV CONTRAST BILATERAL,dx_proc_medi,0.019666126,0.004229947,0.041644605
proc_77065,DX MAMMO INCL CAD UNI,dx_proc_medi,0.002338472,0.000537181,0.017749903
proc_77073,BONE LENGTH STUDIES,dx_proc_medi,0.001685573,0.001167173,0.020770309
proc_77263,THER RAD TX PLNNING CPLX,dx_proc_medi,-0.006849477,0.036311734,0.130543403
proc_77290,THER RAD SIMULAJ-AIDED FLD SETTING CPLX,dx_proc_medi,-0.007591835,0.028310271,0.113711865
proc_77315,TELETHX ISODOSE PLN CPLX,dx_proc_medi,-0.01269853,0.002666217,0.03623038
proc_77331,SPEC DOSIM ONLY PRESCRIBED TREATING PHYS,dx_proc_medi,-0.011964025,0.000683429,0.016082016
proc_77334,TX DEV DESIGN&CONSTJ CPLX,dx_proc_medi,-0.006929374,0.031586793,0.122703608
proc_77412,RADIATION  TREATMENT  DELIVERY,dx_proc_medi,0.004766343,0.001307796,0.02470531
proc_77413,RADJ DLVR 3/> AREAS CUSTOM BLKING 6-10MEV,dx_proc_medi,-0.007578305,0.002503094,0.035148794
proc_77414,RADJ DLVR 3/> AREAS CUSTOM BLKING 11-19MEV,dx_proc_medi,-0.009391188,0.005146811,0.050931566
proc_77418,NTSTY MODUL DLVR 1/MLT FLDS/ARCS PR TX SESSION,dx_proc_medi,0.003718423,0.006966475,0.050870448
proc_77427,RADJ TX MGMT 5 TXS,dx_proc_medi,-0.012014428,0.023832827,0.104614139
proc_77790,SUPVJ HANDLING LOADING RADJ SRC,dx_proc_medi,-0.000682117,0.001603105,0.028315985
proc_78205,LVR IMG SPECT,dx_proc_medi,-0.004209404,0.002399033,0.037857258
proc_78320,B1&/JT IMG TOMOG SPECT,dx_proc_medi,-0.001095362,0.002027787,0.031437821
proc_79101,HC NUCLEAR MED THERAPY IV,dx_proc_medi,-0.007001448,0.000815615,0.025114401
proc_80053,COMPRE METAB PANEL,dx_proc_medi,-0.011426113,0.005751491,0.061546774
proc_85025,BLD# COMPL AUTO HHRWP&AUTO DIFFIAL,dx_proc_medi,-0.011845294,0.010901114,0.092442776
proc_880015678,SURGICAL CASE REQUEST,dx_proc_medi,0.011310673,0.002382158,0.036216206
proc_88302,LVL II-SURG PATH GROSS&MCRSCP XM,dx_proc_medi,0.010925228,0.00263528,0.036508126
proc_88304,LEVEL III-SURG PATH GROSS&MICROSCOPIC XM,dx_proc_medi,0.006297409,0.013238272,0.076232743
proc_88342,IMMUNOHISTO ANTIBODY STAIN,dx_proc_medi,-0.012116723,0.075275622,0.204689117
proc_88360,TUMOR IMMUNOHISTOCHEM/MANUAL,dx_proc_medi,-0.004772609,0.034132073,0.13930568
proc_90658,FLU VACCINE >3YO IM UHA,dx_proc_medi,-0.005606684,0.003166835,0.030897356
proc_90945,DIAL OTH/THN HEMO 1 PHYS EVAL,dx_proc_medi,0.014894658,0.000334683,0.01144636
proc_92014,"EYE EXAM & TREATMENT, ESTABLISHED",dx_proc_medi,-0.000611879,0.00581899,0.051200173
proc_92083,VIS FLD XM UNI/BI I&R EXTND XM,dx_proc_medi,-0.007674099,0.00521431,0.047384413
proc_93010,ECG ROUTINE ECG W/LEAST 12 LDS I&R ONLY,dx_proc_medi,-0.007621364,0.112248284,0.248286589
proc_93288,INTERROGATION EVAL IN PERSON 1/DUAL/MLT LEAD PM,dx_proc_medi,0.000121962,0.000430307,0.011983409
proc_93970,DUP-SCAN XTR VEINS COMPL BI STD,dx_proc_medi,-0.019222926,0.012537968,0.082951749
proc_95920,INTRAOP NEUROPHYSIOLOGY TSTG PR HR,dx_proc_medi,0.001250592,0.001169985,0.02444762
proc_95940,IONM IN OPERATNG ROOM 15 MIN,dx_proc_medi,0.003487613,0.001496231,0.030405073
proc_96360,"HYDRATION IV INFUSION,INIT, 31 TO 1 HRS",dx_proc_medi,0.006429232,0.001639667,0.029890351
proc_96366,IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR,dx_proc_medi,-0.007415095,0.000686241,0.019419127
proc_96402,CHEMOTX ADMN SUBQ/IM HORMONAL ANTI-NEO,dx_proc_medi,-0.013027065,0.002300596,0.041313378
proc_96409,CHEMOTX ADMN IV PUSH TQ 1/1ST SBST/DRUG,dx_proc_medi,-0.000400678,0.000599055,0.021574421
proc_97163,PT EVAL HIGH COMPLEX 45 MIN,dx_proc_medi,0.001784158,0.00123186,0.027745288
proc_99024,POST-OP FOLLOW-UP VISIT,dx_proc_medi,-0.005718547,0.056313984,0.148134043
proc_99212,EVAL/MGMT OF EST PATIENT LEVEL TWO,dx_proc_medi,0.011737777,0.036095174,0.127939666
proc_99213,EVAL/MGMT OF EST PATIENT LEVEL 3,dx_proc_medi,0.004725563,0.173776578,0.299959183
proc_99214,EVAL/MGMT OF EST PATIENT LEVEL 4,dx_proc_medi,0.000677615,0.287386095,0.383607762
proc_99215,EVAL/MGMT OF EST PATIENT LEVEL 5,dx_proc_medi,-0.02057438,0.175840927,0.314721454
proc_99223,1ST HOSP CARE PR D 70 MIN,dx_proc_medi,-0.006820121,0.043669142,0.164903694
proc_99231,SBSQ HOSP CARE PR D 15 MIN,dx_proc_medi,0.005228316,0.013440769,0.083223151
proc_99238,HOSP DSCHRG D MGMT 30 MIN/<,dx_proc_medi,0.008257246,0.01538137,0.087399466
proc_99243,OFFICE CONSLTJ 40 MIN,dx_proc_medi,0.011966006,0.014650129,0.07980603
proc_99244,OFFICE CONSLTJ 60 MIN,dx_proc_medi,0.00822366,0.026428732,0.107798282
proc_99245,OFFICE CONSLTJ 80 MIN,dx_proc_medi,0.00280696,0.046883789,0.156495353
proc_99252,1ST INPT CONSLTJ 40 MIN,dx_proc_medi,-0.019843468,0.003133086,0.042904378
proc_99292,CC E/M CRITICALLY ILL/INJURED EA 30 MIN,dx_proc_medi,0.017775195,0.001153111,0.02346522
proc_99396,PERIODIC PREVENTIVE MED EST PATIENT AGE 40-64YRS,dx_proc_medi,0.003511507,0.00518056,0.044566619
proc_ADT100,ADMIT TO INPATIENT,dx_proc_medi,-0.003317909,0.072120036,0.209254075
proc_ADT12,DISCHARGE PATIENT,dx_proc_medi,-0.003798101,0.005042749,0.060596265
proc_ADT13,PLACE IN OBSERVATION-CDU,dx_proc_medi,0.001763573,0.006254922,0.051549264
proc_ADT15,PLACE IN OBSERVATION-OTHER,dx_proc_medi,0.001692845,0.002539656,0.029232105
proc_ADT9,ADMIT TO PHASE (POST PROCEDURE AREA),dx_proc_medi,-0.000133214,0.002531218,0.028185853
proc_ANE300,PERIPHERAL NERVE BLOCK,dx_proc_medi,0.004433869,0.006398358,0.057107323
proc_CC2973,90 DAY GLOBAL RAD TREATMENT,dx_proc_medi,0.014728871,0.006898976,0.049478431
proc_CC3186,APP NON-BILLABLE SERVICE 15-30 MIN,dx_proc_medi,-0.006781599,0.008502081,0.073482763
proc_COD1,DNR/DNI,dx_proc_medi,-0.03446425,0.015201372,0.106544372
proc_COD2,FULL CODE,dx_proc_medi,0.009517997,0.139610755,0.261351964
proc_COD3,PARTIAL CODE,dx_proc_medi,-0.006322298,0.003071212,0.046510179
proc_CON103,CONSULT TO IR - BIOPSY,dx_proc_medi,0.00217501,0.00340027,0.047766638
proc_CON301,CONSULT TO CASE MANAGEMENT,dx_proc_medi,-0.008364894,0.013252334,0.085204633
proc_CON311,CONSULT TO PALLIATIVE CARE,dx_proc_medi,-0.017005367,0.007531781,0.07324137
proc_CON367,NSG REFERRAL TO WOUND/OSTOMY,dx_proc_medi,-0.017918583,0.005661492,0.052879414
proc_CON373,CONSULT TO ENT,dx_proc_medi,-0.004929849,0.001653729,0.028325487
proc_CON427,CONSULT TO THORACIC SURGERY,dx_proc_medi,0.002216049,0.001473732,0.030104057
proc_CR107,SLING,dx_proc_medi,0.007993365,0.001217797,0.019672028
proc_DC5,REASON TO CALL YOUR PHYSICIAN,dx_proc_medi,-0.001338442,0.008921138,0.065682467
proc_DIET109,DIET LOW FIBER,dx_proc_medi,0.003372342,0.003414332,0.034901183
proc_DIET115,DIET LOW FAT,dx_proc_medi,0.013745151,0.000888739,0.018502185
proc_DIET123,DIET TUBE FEEDING ONLY,dx_proc_medi,-0.000381609,0.004966813,0.050631033
proc_DIET127,COMBINATION DIET,dx_proc_medi,0.003686514,0.005444932,0.047276739
proc_DIET137,DIET NPO AFTER MIDNIGHT FOR SURGERY,dx_proc_medi,0.001337575,0.006513669,0.059597837
proc_EIA001,US SOFT TISSUE OF HEAD/NECK HNONC,dx_proc_medi,0.016483074,0.000860614,0.0224521
proc_EKG5,ECG 12-LEAD,dx_proc_medi,-0.02062251,0.157768028,0.277801365
proc_EXTA1C,HEMOGLOBIN A1C (MANUAL ENTRY),dx_proc_medi,-0.002857992,0.002165598,0.028003689
proc_EXTCREAT,CREATININE SERUM (MANUAL ENTRY),dx_proc_medi,-0.013404855,0.007045224,0.059433916
proc_EXTMAMMO,MAMMOGRAM (MANUAL ENTRY),dx_proc_medi,0.004334949,0.003532456,0.037754396
proc_EXTSGOT,AST (MANUAL ENTRY),dx_proc_medi,-0.006729397,0.005253684,0.052027087
proc_EXTWBC,EXTERNAL WBC,dx_proc_medi,0.007478492,0.000697491,0.014603453
proc_G0204,DIAGNOSTICMAMMOGRAPHYDIGITAL,dx_proc_medi,0.000432242,0.001794353,0.028833648
proc_G0206,DIAGNOSTICMAMMOGRAPHYDIGITAL,dx_proc_medi,0.014463613,0.001501856,0.025828493
proc_GIEGD,UPPER GI ENDOSCOPY,dx_proc_medi,0.006397379,0.015372933,0.086236768
proc_GIUEUS,UPPER ENDOSCOPIC ULTRASOUND (EUS),dx_proc_medi,-0.008562958,0.007261784,0.063084372
proc_IMGCT0143,CT CHEST W AND WO IV CONTRAST,dx_proc_medi,0.000276714,0.001518731,0.02814631
proc_IMGCT0427,CT HEAD RADIATION ONCOLOGY,dx_proc_medi,-0.004083677,0.001364045,0.027720086
proc_IMGCT0512,CT CHEST ABDOMEN PELVIS W IV CONTRAST PO CONTRAST,dx_proc_medi,-0.003984832,0.001189673,0.029053088
proc_IMGCT3AP,CT ANGIO ABDOMEN PELVIS,dx_proc_medi,0.007435212,0.001949038,0.028682998
proc_IMGCTA,CT ABDOMEN,dx_proc_medi,0.003055543,0.011244234,0.072303507
proc_IMGCTALI,CT LIVER ABLATION,dx_proc_medi,0.013976111,0.001102486,0.022425852
proc_IMGCTAP,CT ABDOMEN PELVIS,dx_proc_medi,0.005372227,0.051102486,0.158522184
proc_IMGCTBLURT,CT BIOPSY RIGHT LUNG,dx_proc_medi,0.003148433,0.002421532,0.033855459
proc_IMGCTHR,CT CHEST HIGH RESOLUTION,dx_proc_medi,-0.008734616,0.002317471,0.031988878
proc_IMGCTLMP,CT TRIPHASIC LIVER MASS PROTOCOL,dx_proc_medi,0.006349516,0.005219935,0.051677937
proc_IMGCTT,CT THORAX,dx_proc_medi,0.013544306,0.05303465,0.163896291
proc_IMGCTTAPROF,CT CHEST/ABDOMEN/PELVIS OUTSIDE STUDY FOR REFERENCE ONLY,dx_proc_medi,-0.003445361,0.004398695,0.051699937
proc_IMGCTTAPW,CT CHEST ABDOMEN PELVIS W CONTRAST,dx_proc_medi,-0.009990466,0.032326471,0.114007176
proc_IMGDXAB3,"XR ABDOMEN W AP, UPRIGHT, DECUB & DIAPHRAGM",dx_proc_medi,-0.008655468,0.00263528,0.034660648
proc_IMGDXABROF,XR ABDOMEN OUTSIDE STUDY FOR REFERENCE ONLY,dx_proc_medi,-0.007595149,0.00143717,0.029330983
proc_IMGDXCH1P,XR CHEST 1V PORTABLE,dx_proc_medi,0.005437433,0.006122736,0.041463815
proc_IMGDXFL1HRGR,XR FLUORO OVER 1 HOUR WO RADIOLOGIST,dx_proc_medi,0.00401948,0.004283384,0.044389377
proc_IMGDXFLP,PHYSIATRY FLUORO,dx_proc_medi,-0.002637691,0.001054674,0.021864614
proc_IMGDXPEL2,XR PELVIS 2V,dx_proc_medi,-0.005216716,0.002275284,0.032606873
proc_IMGDXSPC2,"XR SPINE, CERVICAL 2V",dx_proc_medi,-0.008771447,0.001296546,0.023540016
proc_IMGDXSPL5,"XR SPINE, LUMBAR COMPLETE",dx_proc_medi,-0.015053908,0.001259984,0.021893924
proc_IMGDXSPT,"XR SPINE, THORACIC 2V",dx_proc_medi,-0.004605474,0.001746541,0.027926144
proc_IMGFLBE,XR BARIUM ENEMA,dx_proc_medi,0.00483468,0.001099674,0.022134078
proc_IMGFLERCP,ERCPANCREATOGRAM,dx_proc_medi,-0.016229471,0.001783103,0.030826062
proc_IMGIL0004,CT CHEST ABDOMEN PELVIS REFERENCE ONLY,dx_proc_medi,0.003493423,0.003462144,0.04896881
proc_IMGIL0007,CT HEAD REFERENCE ONLY,dx_proc_medi,-0.004372532,0.000888739,0.023921744
proc_IMGIL0071,PET/CT WHOLE BODY REFERENCE ONLY,dx_proc_medi,-0.002391718,0.002663404,0.042155233
proc_IMGIL0137,PET/CT REFERENCE ONLY,dx_proc_medi,0.006099992,0.00140342,0.031112365
proc_IMGIRBILTBCHG,IR BILIARY TUBE CHANGE,dx_proc_medi,0.009298682,0.00043312,0.013847857
proc_IMGIRNEPHCHGR,IR NEPHROSTOMY CATH CHANGE RT,dx_proc_medi,-0.014947987,0.000989988,0.023711095
proc_IMGIRPARACENT,IR PARACENTESIS,dx_proc_medi,-0.004349413,0.000998425,0.025954636
proc_IMGMABXULT,MAMMO US CORE BIOPSY LEFT,dx_proc_medi,-0.000936908,0.001251547,0.018922938
proc_IMGMABXURT,MAMMO US CORE BIOPSY RIGHT,dx_proc_medi,-0.003704868,0.001527168,0.022689419
proc_IMGMADROF,MAMMO REFERENCE ONLY,dx_proc_medi,0.022345167,0.002851839,0.035192216
proc_IMGMASDC,MAMMO SCREENING,dx_proc_medi,0.012063996,0.008862077,0.053348622
proc_IMGMR0298,MR BRAIN W AND WO IV CONTRAST TUMOR,dx_proc_medi,-0.000789194,0.001704354,0.033392364
proc_IMGMR0371,MR BRAIN W IV CONTRAST,dx_proc_medi,-0.003169155,0.002666217,0.039212722
proc_IMGMR0516,MR COMPLETE SPINE W AND WO IV CONTRAST,dx_proc_medi,0.00843276,0.001124986,0.029001166
proc_IMGMR0562,MR THORACIC AND LUMBAR SPINE W AND WO IV CONTRAST,dx_proc_medi,0.004189245,0.000686241,0.022722665
proc_IMGMR0583,MR THORACIC SPINE W AND WO IV CONTRAST,dx_proc_medi,-0.002729306,0.001009675,0.025378922
proc_IMGMRAB,MR ABDOMEN,dx_proc_medi,0.004758547,0.008617392,0.060352405
proc_IMGMRAB3T,MR ABDOMEN ON 3T,dx_proc_medi,0.010965997,0.006870852,0.058313993
proc_IMGMRAH,MR ANGIO HEAD,dx_proc_medi,0.006282638,0.002522781,0.033535026
proc_IMGMRAK,MR ANGIO NECK,dx_proc_medi,-0.002301896,0.001560918,0.025926888
proc_IMGMRFEMLT,MR FEMUR LEFT,dx_proc_medi,0.001411542,0.001040612,0.020970717
proc_IMGMRH,MR BRAIN,dx_proc_medi,-0.009563847,0.060425807,0.187411632
proc_IMGMRHWWO,MR BRAIN WITH AND WITHOUT CONTRAST,dx_proc_medi,-0.008820786,0.014914501,0.083655302
proc_IMGMROFN,MR ORBIT FACE NECK WITHOUT CONTRAST,dx_proc_medi,-0.013582018,0.004724941,0.04610526
proc_IMGMROFWWO,MR ORBIT FACE NECK WITH AND WITHOUT CONTRAST,dx_proc_medi,0.009501818,0.001487794,0.018700164
proc_IMGMRSCT,MR C-SPINE AND T-SPINE,dx_proc_medi,-0.013742182,0.001265609,0.02575939
proc_IMGMRSFWWO,MR SPINE FULL WITH AND WITHOUT CONTRAST,dx_proc_medi,-0.015206181,0.00199685,0.032370889
proc_IMGMRSKBWWO,MR SKULL BASE WITH AND WITHOUT CONTRAST,dx_proc_medi,0.004260216,0.000691866,0.016881543
proc_IMGMRST,MR T-SPINE,dx_proc_medi,-0.001858035,0.008943638,0.070859858
proc_IMGMRSTL,MR T-SPINE AND L-SPINE,dx_proc_medi,-0.003224875,0.00437057,0.050099971
proc_IMGMRSTO,MR STEREOTACTIC ON-CALL,dx_proc_medi,-0.013914304,0.015128248,0.096444413
proc_IMGMRSTWWO,MR T-SPINE WITH AND WITHOUT CONTRAST,dx_proc_medi,0.000128383,0.002466532,0.033318361
proc_IMGNBONE3P,NUC BONE SCAN 3 PHASE,dx_proc_medi,-0.008582975,0.001116549,0.021191962
proc_IMGNCPFDGTBD,FDG PET CT CLINICAL BODY VERTEX TO TOES,dx_proc_medi,0.009438637,0.002134661,0.030729441
proc_IMGNCPFDGTBDX,FDG PET CT CLINICAL TOTAL BODY VERTEX TO TOES INJECTION,dx_proc_medi,0.007702913,0.001133423,0.021091292
proc_IMGNCPFDGWBDX,FDG PET CT CLINICAL WHOLE BODY SKULL TO THIGHS INJECTION,dx_proc_medi,0.019612348,0.008274272,0.063060003
proc_IMGNEPETHDNK,EXTERNAL PET CT HEAD NECK CANCER,dx_proc_medi,-0.006304442,0.002027787,0.026002942
proc_IMGNEPETLUNG,EXTERNAL PET CT LUNG CANCER,dx_proc_medi,-0.005881396,0.003428395,0.041102747
proc_IMGNEPETLYMPH,EXTERNAL PET CT LYMPHOMA,dx_proc_medi,0.010055803,0.001878727,0.024661336
proc_IMGNEPETMELA,EXTERNAL PET CT MELANOMA,dx_proc_medi,-0.005149892,0.001566543,0.026396875
proc_IMGNPTROF,PET OTHER OUTSIDE STUDY FOR REFERENCE ONLY,dx_proc_medi,0.013476217,0.004035887,0.049475068
proc_IMGNTSIRTX,NM THERAPY SIR-SPHERES,dx_proc_medi,-0.008230064,0.001527168,0.026478964
proc_IMGROCTHD,RADIATION ONCOLOGY CT HEAD,dx_proc_medi,-0.010198908,0.002098099,0.032080817
proc_IMGUS0040,US LOWER EXTREMITY VEINS DEEP VEIN THROMBOSIS BILATERAL,dx_proc_medi,0.003330034,0.001861852,0.035417629
proc_IMGUSABDD,US ABDOMEN W DUPLEX,dx_proc_medi,-0.001238332,0.00219091,0.033242576
proc_IMGUSHEP,US HEPATOMA SURVEY,dx_proc_medi,-0.000135958,0.000826865,0.016086211
proc_IMGUSHN,US HEAD AND OR NECK,dx_proc_medi,0.021184584,0.002120598,0.027982016
proc_IMGUSIN,US INTRAOPERATIVE,dx_proc_medi,0.010457691,0.003380583,0.035344859
proc_IMGXR0029,XR CHEST 1 VIEW POST NEEDLE BIOPSY,dx_proc_medi,0.011319063,0.001338733,0.029934716
proc_IMGXR0091,XR LUMBAR SPINE 2 VIEWS,dx_proc_medi,-0.002974888,0.000925301,0.022488643
proc_IMGXR0125,XR SHOULDER 2+ VIEWS LEFT,dx_proc_medi,-0.000752062,0.000489369,0.014707832
proc_IMM14,FLU VACCINE 3YR+ TRI (PF) IM,dx_proc_medi,-0.005042693,0.003290584,0.032654955
proc_J0881,DARBEPOETIN ALFA INJECTION (NON-ESRD) PER 1 MCG,dx_proc_medi,0.003500104,0.000554056,0.021313321
proc_J0885,"EPOETIN ALFA, (FOR NON-ESRD USE), 1000 UNITS, INJECTION",dx_proc_medi,0.003207635,0.000629992,0.020201822
proc_J1100,DEXAMETHASONE SODIUM PH INJ PER 1MG MMC,dx_proc_medi,0.005722951,0.004640567,0.05676833
proc_J1440,FILGRASTIM 300 MCG INJECTION,dx_proc_medi,0.007123135,0.000447182,0.015121652
proc_J1441,FIGRASTIM INJECTION 480MCG,dx_proc_medi,-0.002650245,0.000202497,0.01176745
proc_J2405,ONDANSETRON (ZOFRAN) 4 MG/2 ML,dx_proc_medi,0.000605973,0.000854989,0.024359848
proc_J3420,VITAMIN B-12 INJECTION UP TO 1000 MCG,dx_proc_medi,-0.010346597,0.001482169,0.031311469
proc_J9060,CISPLATIN 10 MG INJECTION,dx_proc_medi,0.000358721,0.00023906,0.01163154
proc_J9179,"INJECTION, ERIBULIN MESYLATE 0.1MG",dx_proc_medi,-0.001509532,0.000185623,0.012770611
proc_J9181,ETOPOSIDE 10MG,dx_proc_medi,-0.003198949,0.000149061,0.010387787
proc_J9264,PACLITAXEL PROTEIN BOUND,dx_proc_medi,0.00957482,0.000362808,0.017129489
proc_LAB11088R,PP,dx_proc_medi,0.010640865,0.006508044,0.063858487
proc_LAB11099R,VIP,dx_proc_medi,0.011084478,0.004741816,0.052204342
proc_LAB11118R,"ELASTASE, STOOL",dx_proc_medi,0.004220161,0.00061593,0.015528717
proc_LAB12232R,THYROGLOBULIN & THYROID AB- EXTERNAL,dx_proc_medi,0.023819355,0.003014962,0.03988988
proc_LAB220,BLUE TOP,dx_proc_medi,0.003926363,0.018753516,0.108441147
proc_LAB230,MANUAL DIFFERENTIAL/SLIDE REVIEW,dx_proc_medi,-0.015755562,0.039419507,0.15731584
proc_LAB231,AP SPECIMEN TRACKING (LAB ONLY),dx_proc_medi,0.00505368,0.012546406,0.083248728
proc_LAB234,CBC WITH DIFFERENTIAL,dx_proc_medi,0.010577897,0.189301384,0.35666497
proc_LAB344,CARDIAC RISK RELATIVE,dx_proc_medi,-0.005809938,0.000658117,0.015829699
proc_LAB384,EGFR MUTATION PANEL BLOCK/SLIDE REQUEST,dx_proc_medi,0.013242971,0.001749353,0.026841132
proc_LABABG,ARTERIAL BLOOD GAS,dx_proc_medi,0.004131302,0.061345483,0.165564182
proc_LABAFP,"ALPHA FETOPROTEIN, SERUM",dx_proc_medi,-0.000918935,0.027587468,0.139305644
proc_LABAS4I,AB SCREEN,dx_proc_medi,-0.000869565,0.000551243,0.018170326
proc_LABBBPPLT,PLATELET APHERESIS PRODUCT,dx_proc_medi,-0.012414858,0.013679829,0.087334391
proc_LABBBPRBC,RED BLOOD CELLS,dx_proc_medi,-0.003674005,0.083758016,0.207390843
proc_LABBFCTS,"CELL COUNT, BODY FLUID",dx_proc_medi,0.005303684,0.006612105,0.067823382
proc_LABBHCG,"BETA HCG, QUANT",dx_proc_medi,0.010140939,0.013308584,0.0902923
proc_LABBLC,BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLE),dx_proc_medi,-0.01793005,0.060842052,0.180166209
proc_LABBRAF,"BRAF, BLOOD",dx_proc_medi,-0.008322697,0.004044324,0.039417026
proc_LABC125,CANCER AG 125,dx_proc_medi,-0.006488681,0.039492631,0.172755071
proc_LABC3,"COMPLEMENT C3, SERUM",dx_proc_medi,0.013505381,0.002508719,0.034420709
proc_LABCA199,CANCER AG 19-9,dx_proc_medi,-0.022898925,0.043790078,0.183914759
proc_LABCDIFF,"DIFFERENTIAL, CSF",dx_proc_medi,-0.009523692,0.000936551,0.025657247
proc_LABCDTPCR,"C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR",dx_proc_medi,0.00626095,0.024319384,0.104601297
proc_LABCEA,CEA,dx_proc_medi,-0.006849741,0.082126786,0.243494157
proc_LABCHOL,"CHOLESTEROL TOTAL, SERUM/PLASMA",dx_proc_medi,0.010495954,0.008164585,0.071886634
proc_LABCLGC2,"CHLAMYDIA GC, MOLECULAR DETECTION",dx_proc_medi,0.0083267,0.001051862,0.018493629
